Date : 2026-05-22 15:17:56
Directory : /home/jowens/Projects/ns2
Total : 125 files,  10498 codes, 2223 comments, 2406 blanks, all 15127 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/jowens/Projects/ns2/src/ns2/tests/test-snmp.py                                      | Python           |         41 |          1 |         20 |         62 |
| /home/jowens/Projects/ns2/src/ns2/tests/udp_client.py                                     | Python           |        161 |         21 |         45 |        227 |
| /home/jowens/Projects/ns2/src/ns2/tests/udp_server.py                                     | Python           |        112 |          6 |         49 |        167 |
| /home/jowens/Projects/ns2/src/ns2/ui/__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| /home/jowens/Projects/ns2/src/ns2/ui/accountsDialogs.py                                   | Python           |         40 |        132 |         25 |        197 |
| /home/jowens/Projects/ns2/src/ns2/ui/accounts_page.py                                     | Python           |         61 |        124 |          8 |        193 |
| /home/jowens/Projects/ns2/src/ns2/ui/firewalld_page.py                                    | Python           |        196 |        258 |         37 |        491 |
| /home/jowens/Projects/ns2/src/ns2/ui/fpga_page.py                                         | Python           |         20 |          0 |          7 |         27 |
| /home/jowens/Projects/ns2/src/ns2/ui/home_page.py                                         | Python           |         25 |         76 |         17 |        118 |
| /home/jowens/Projects/ns2/src/ns2/ui/login.py                                             | Python           |         43 |          1 |         16 |         60 |
| /home/jowens/Projects/ns2/src/ns2/ui/logs_page.py                                         | Python           |        113 |          5 |         29 |        147 |
| /home/jowens/Projects/ns2/src/ns2/ui/main.py                                              | Python           |        171 |         40 |         43 |        254 |
| /home/jowens/Projects/ns2/src/ns2/ui/networking_page.py                                   | Python           |        270 |         66 |         74 |        410 |
| /home/jowens/Projects/ns2/src/ns2/ui/services_page.py                                     | Python           |         43 |         29 |         17 |         89 |
| /home/jowens/Projects/ns2/src/ns2/ui/session.py                                           | Python           |          0 |          2 |          2 |          4 |
| /home/jowens/Projects/ns2/src/ns2/ui/snmp_page.py                                         | Python           |        208 |        308 |         20 |        536 |
| /home/jowens/Projects/ns2/src/ns2/ui/terminal.py                                          | Python           |         52 |          7 |         14 |         73 |
| /home/jowens/Projects/ns2/src/ns2/ui/tests_page.py                                        | Python           |         68 |          5 |         44 |        117 |
| /home/jowens/Projects/ns2/src/ns2/ui/theme.py                                             | Python           |         17 |          2 |          7 |         26 |
| /home/jowens/Projects/ns2/src/ns2/utils.py                                                | Python           |         31 |          1 |         12 |         44 |
| /home/jowens/Projects/ns2/uv.lock                                                         | toml             |      1,734 |          0 |         80 |      1,814 |
| Total                                                                                     |                  |     10,498 |      2,223 |      2,406 |     15,127 |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
